Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Admitted,Region,,,
2239,16062,2020-05-14,326,27,31,Balochistan,,,
482,5884,2020-05-14,337,4,12,GB,,,
822,22287,2020-05-14,100,6,26,ICT,,,
5252,34352,2020-05-14,1392,275,572,KP,,,
13561,145577,2020-05-14,4636,223,5912,Punjab,,,
13341,103343,2020-05-14,2835,234,1432,Sindh,,,
105,3411,2020-05-15,76,1,28,AJK,,,
2310,16601,2020-05-15,342,30,31,Balochistan,,,
501,6027,2020-05-15,339,4,17,GB,,,
866,23409,2020-05-15,100,7,25,ICT,,,
5423,35905,2020-05-15,1505,284,547,KP,,,
13914,151247,2020-05-15,4720,234,6180,Punjab,,,
14099,107830,2020-05-15,3073,243,1476,Sindh,,,
108,3572,2020-05-16,76,1,31,AJK,,,
2457,17078,2020-05-16,383,31,32,Balochistan,,,
518,6173,2020-05-16,345,4,24,GB,,,
921,24367,2020-05-16,100,7,30,ICT,,,
5678,37452,2020-05-16,1613,291,522,KP,,,
14201,157226,2020-05-16,4757,245,6418,Punjab,,,
14916,113396,2020-05-16,3606,255,1404,Sindh,,,
112,3758,2020-05-17,77,1,34,AJK,,,
2544,17663,2020-05-17,417,36,32,Balochistan,,,
527,6356,2020-05-17,348,4,21,GB,,,
947,25385,2020-05-17,113,7,22,ICT,,,
5847,38992,2020-05-17,1699,305,374,KP,,,
14584,163466,2020-05-17,4883,252,6617,Punjab,,,
15590,117860,2020-05-17,3804,268,1265,Sindh,,,
112,3947,2020-05-18,77,1,34,AJK,,,
2692,18021,2020-05-18,454,36,26,Balochistan,,,
540,6517,2020-05-18,368,4,26,GB,,,
997,26606,2020-05-18,113,7,31,ICT,,,
6061,40410,2020-05-18,1783,318,520,KP,,,
15346,168940,2020-05-18,4918,260,7388,Punjab,,,
16337,122894,2020-05-18,4209,277,1406,Sindh,,,
115,4090,2020-05-19,77,1,37,AJK,,,
2820,18438,2020-05-19,524,38,34,Balochistan,,,
550,6636,2020-05-19,368,4,22,GB,,,
1034,27425,2020-05-19,113,9,22,ICT,,,
6230,41825,2020-05-19,1944,334,478,KP,,,
15976,174305,2020-05-19,4974,273,7949,Punjab,,,
17241,127573,2020-05-19,4489,280,1377,Sindh,,,
133,4242,2020-05-20,77,1,55,AJK,,,
2885,19003,2020-05-20,608,38,39,Balochistan,,,
556,6731,2020-05-20,390,4,20,GB,,,
1138,29033,2020-05-20,151,9,30,ICT,,,
6554,43329,2020-05-20,2058,345,512,KP,,,
16685,180540,2020-05-20,5076,289,8538,Punjab,,,
17947,131376,2020-05-20,4741,299,1534,Sindh,,,
148,4470,2020-05-21,79,1,68,AJK,,,
2968,19345,2020-05-21,636,38,35,Balochistan,,,
579,6928,2020-05-21,402,4,22,GB,,,
1235,30364,2020-05-21,151,10,35,ICT,,,
6815,44973,2020-05-21,2130,351,535,KP,,,
17382,185979,2020-05-21,5112,297,8718,Punjab,,,
18964,137540,2020-05-21,5645,316,1487,Sindh,,,
158,4659,2020-05-22,79,1,78,AJK,,,
3074,19888,2020-05-22,724,39,58,Balochistan,,,
602,7099,2020-05-22,412,4,25,GB,,,
1326,32126,2020-05-22,151,12,34,ICT,,,
7155,46762,2020-05-22,2198,365,420,KP,,,
18455,191910,2020-05-22,5312,310,9418,Punjab,,,
19924,143543,2020-05-22,6325,336,1528,Sindh,,,
171,4868,2020-05-23,94,1,76,AJK,,,
3198,20383,2020-05-23,762,39,58,Balochistan,,,
607,7338,2020-05-23,427,4,26,GB,,,
1457,32964,2020-05-23,152,12,33,ICT,,,
7391,48348,2020-05-23,2297,381,465,KP,,,
18730,197225,2020-05-23,5906,324,2126,Punjab,,,
20883,149566,2020-05-23,7015,340,1633,Sindh,,,
197,5103,2020-05-24,97,1,99,AJK,,,
3306,20987,2020-05-24,860,39,61,Balochistan,,,
619,7443,2020-05-24,430,4,24,GB,,,
1592,33936,2020-05-24,152,14,30,ICT,,,
7685,49780,2020-05-24,2396,389,403,KP,,,
19557,202456,2020-05-24,6050,332,1960,Punjab,,,
21645,153902,2020-05-24,7213,354,1654,Sindh,,,
209,5225,2020-05-25,99,2,108,AJK,,,
3407,21401,2020-05-25,875,40,77,Balochistan,,,
619,7574,2020-05-25,437,7,24,GB,,,
1641,34379,2020-05-25,152,16,31,ICT,,,
